<TICKER>,<PER>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.16,5,2016-10-07 10:05:00,100500.0000000,100500.0000000,100180.0000000,100230.0000000,17642
SPFB.RTS-12.16,5,2016-10-07 10:10:00,100240.0000000,100390.0000000,100160.0000000,100340.0000000,9317
SPFB.RTS-12.16,5,2016-10-07 10:15:00,100340.0000000,100590.0000000,100330.0000000,100500.0000000,11663
SPFB.RTS-12.16,5,2016-10-07 10:20:00,100500.0000000,100570.0000000,100420.0000000,100500.0000000,8557
SPFB.RTS-12.16,5,2016-10-07 10:25:00,100510.0000000,100550.0000000,100310.0000000,100350.0000000,7932
SPFB.RTS-12.16,5,2016-10-07 10:30:00,100340.0000000,100430.0000000,100240.0000000,100380.0000000,7295
SPFB.RTS-12.16,5,2016-10-07 10:35:00,100380.0000000,100420.0000000,100270.0000000,100360.0000000,2984
SPFB.RTS-12.16,5,2016-10-07 10:40:00,100360.0000000,100380.0000000,100280.0000000,100300.0000000,1808
SPFB.RTS-12.16,5,2016-10-07 10:45:00,100300.0000000,100320.0000000,100210.0000000,100300.0000000,3619
SPFB.RTS-12.16,5,2016-10-07 10:50:00,100310.0000000,100400.0000000,100290.0000000,100310.0000000,3630
SPFB.RTS-12.16,5,2016-10-07 10:55:00,100330.0000000,100450.0000000,100330.0000000,100350.0000000,3752
SPFB.RTS-12.16,5,2016-10-07 11:00:00,100340.0000000,100370.0000000,100220.0000000,100300.0000000,4076
SPFB.RTS-12.16,5,2016-10-07 11:05:00,100300.0000000,100360.0000000,100120.0000000,100190.0000000,5904
SPFB.RTS-12.16,5,2016-10-07 11:10:00,100180.0000000,100250.0000000,100110.0000000,100140.0000000,4397
SPFB.RTS-12.16,5,2016-10-07 11:15:00,100140.0000000,100220.0000000,100110.0000000,100210.0000000,3032
SPFB.RTS-12.16,5,2016-10-07 11:20:00,100200.0000000,100320.0000000,100150.0000000,100300.0000000,4064
SPFB.RTS-12.16,5,2016-10-07 11:25:00,100310.0000000,100360.0000000,100250.0000000,100320.0000000,2524
SPFB.RTS-12.16,5,2016-10-07 11:30:00,100320.0000000,100330.0000000,100210.0000000,100220.0000000,3592
SPFB.RTS-12.16,5,2016-10-07 11:35:00,100230.0000000,100320.0000000,100220.0000000,100270.0000000,2667
SPFB.RTS-12.16,5,2016-10-07 11:40:00,100270.0000000,100380.0000000,100260.0000000,100370.0000000,3656
SPFB.RTS-12.16,5,2016-10-07 11:45:00,100370.0000000,100440.0000000,100330.0000000,100380.0000000,4874
SPFB.RTS-12.16,5,2016-10-07 11:50:00,100390.0000000,100400.0000000,100320.0000000,100350.0000000,2036
SPFB.RTS-12.16,5,2016-10-07 11:55:00,100360.0000000,100400.0000000,100240.0000000,100400.0000000,4789
SPFB.RTS-12.16,5,2016-10-07 12:00:00,100390.0000000,100430.0000000,100370.0000000,100390.0000000,2812
SPFB.RTS-12.16,5,2016-10-07 12:05:00,100390.0000000,100490.0000000,100350.0000000,100470.0000000,5136
SPFB.RTS-12.16,5,2016-10-07 12:10:00,100470.0000000,100480.0000000,100440.0000000,100450.0000000,1427
SPFB.RTS-12.16,5,2016-10-07 12:15:00,100440.0000000,100450.0000000,100330.0000000,100360.0000000,3856
SPFB.RTS-12.16,5,2016-10-07 12:20:00,100350.0000000,100490.0000000,100340.0000000,100470.0000000,2947
SPFB.RTS-12.16,5,2016-10-07 12:25:00,100460.0000000,100540.0000000,100450.0000000,100450.0000000,4343
SPFB.RTS-12.16,5,2016-10-07 12:30:00,100450.0000000,100480.0000000,100380.0000000,100400.0000000,1295
SPFB.RTS-12.16,5,2016-10-07 12:35:00,100400.0000000,100410.0000000,100350.0000000,100360.0000000,1415
SPFB.RTS-12.16,5,2016-10-07 12:40:00,100360.0000000,100410.0000000,100300.0000000,100300.0000000,1526
SPFB.RTS-12.16,5,2016-10-07 12:45:00,100300.0000000,100300.0000000,100220.0000000,100230.0000000,3613
SPFB.RTS-12.16,5,2016-10-07 12:50:00,100230.0000000,100230.0000000,100020.0000000,100040.0000000,8558
SPFB.RTS-12.16,5,2016-10-07 12:55:00,100030.0000000,100040.0000000,99840.0000000,99850.0000000,14287
SPFB.RTS-12.16,5,2016-10-07 13:00:00,99850.0000000,99860.0000000,99670.0000000,99690.0000000,16709
SPFB.RTS-12.16,5,2016-10-07 13:05:00,99690.0000000,99730.0000000,99550.0000000,99560.0000000,13896
SPFB.RTS-12.16,5,2016-10-07 13:10:00,99560.0000000,99700.0000000,99500.0000000,99650.0000000,9504
SPFB.RTS-12.16,5,2016-10-07 13:15:00,99650.0000000,99650.0000000,99470.0000000,99650.0000000,10284
SPFB.RTS-12.16,5,2016-10-07 13:20:00,99630.0000000,99690.0000000,99610.0000000,99650.0000000,5339
SPFB.RTS-12.16,5,2016-10-07 13:25:00,99630.0000000,99650.0000000,99510.0000000,99590.0000000,6016
SPFB.RTS-12.16,5,2016-10-07 13:30:00,99600.0000000,99610.0000000,99520.0000000,99570.0000000,3770
SPFB.RTS-12.16,5,2016-10-07 13:35:00,99570.0000000,99650.0000000,99560.0000000,99620.0000000,4556
SPFB.RTS-12.16,5,2016-10-07 13:40:00,99620.0000000,99660.0000000,99550.0000000,99640.0000000,3531
SPFB.RTS-12.16,5,2016-10-07 13:45:00,99630.0000000,99760.0000000,99560.0000000,99740.0000000,6670
SPFB.RTS-12.16,5,2016-10-07 13:50:00,99730.0000000,99770.0000000,99630.0000000,99710.0000000,6664
SPFB.RTS-12.16,5,2016-10-07 13:55:00,99710.0000000,99730.0000000,99650.0000000,99700.0000000,3943
SPFB.RTS-12.16,5,2016-10-07 14:00:00,99700.0000000,99730.0000000,99610.0000000,99670.0000000,3466
SPFB.RTS-12.16,5,2016-10-07 14:10:00,99670.0000000,99750.0000000,99630.0000000,99710.0000000,5535
SPFB.RTS-12.16,5,2016-10-07 14:15:00,99720.0000000,99760.0000000,99680.0000000,99730.0000000,2373
SPFB.RTS-12.16,5,2016-10-07 14:20:00,99720.0000000,99840.0000000,99700.0000000,99790.0000000,6114
SPFB.RTS-12.16,5,2016-10-07 14:25:00,99790.0000000,99840.0000000,99740.0000000,99790.0000000,3346
SPFB.RTS-12.16,5,2016-10-07 14:30:00,99780.0000000,99810.0000000,99660.0000000,99690.0000000,3360
SPFB.RTS-12.16,5,2016-10-07 14:35:00,99680.0000000,99770.0000000,99570.0000000,99620.0000000,6394
SPFB.RTS-12.16,5,2016-10-07 14:40:00,99620.0000000,99700.0000000,99550.0000000,99580.0000000,3678
SPFB.RTS-12.16,5,2016-10-07 14:45:00,99580.0000000,99610.0000000,99510.0000000,99510.0000000,5775
SPFB.RTS-12.16,5,2016-10-07 14:50:00,99510.0000000,99520.0000000,99370.0000000,99430.0000000,10962
SPFB.RTS-12.16,5,2016-10-07 14:55:00,99430.0000000,99550.0000000,99370.0000000,99520.0000000,5498
SPFB.RTS-12.16,5,2016-10-07 15:00:00,99520.0000000,99560.0000000,99410.0000000,99410.0000000,4292
SPFB.RTS-12.16,5,2016-10-07 15:05:00,99410.0000000,99510.0000000,99350.0000000,99430.0000000,7272
SPFB.RTS-12.16,5,2016-10-07 15:10:00,99420.0000000,99490.0000000,99360.0000000,99470.0000000,6640
SPFB.RTS-12.16,5,2016-10-07 15:15:00,99460.0000000,99480.0000000,99330.0000000,99340.0000000,6407
SPFB.RTS-12.16,5,2016-10-07 15:20:00,99340.0000000,99440.0000000,99340.0000000,99410.0000000,3543
SPFB.RTS-12.16,5,2016-10-07 15:25:00,99410.0000000,99460.0000000,99310.0000000,99350.0000000,5650
SPFB.RTS-12.16,5,2016-10-07 15:30:00,99360.0000000,99380.0000000,99230.0000000,99260.0000000,5659
SPFB.RTS-12.16,5,2016-10-07 15:35:00,99270.0000000,99880.0000000,99260.0000000,99690.0000000,33936
SPFB.RTS-12.16,5,2016-10-07 15:40:00,99680.0000000,99690.0000000,99480.0000000,99660.0000000,14352
SPFB.RTS-12.16,5,2016-10-07 15:45:00,99660.0000000,99910.0000000,99610.0000000,99770.0000000,13786
SPFB.RTS-12.16,5,2016-10-07 15:50:00,99780.0000000,99910.0000000,99720.0000000,99800.0000000,6710
SPFB.RTS-12.16,5,2016-10-07 15:55:00,99800.0000000,100050.0000000,99800.0000000,100020.0000000,11528
SPFB.RTS-12.16,5,2016-10-07 16:00:00,100020.0000000,100290.0000000,100010.0000000,100280.0000000,17541
SPFB.RTS-12.16,5,2016-10-07 16:05:00,100280.0000000,100360.0000000,100240.0000000,100290.0000000,19273
SPFB.RTS-12.16,5,2016-10-07 16:10:00,100300.0000000,100380.0000000,100270.0000000,100310.0000000,8658
SPFB.RTS-12.16,5,2016-10-07 16:15:00,100320.0000000,100360.0000000,100250.0000000,100340.0000000,9053
SPFB.RTS-12.16,5,2016-10-07 16:20:00,100360.0000000,100470.0000000,100270.0000000,100290.0000000,12270
SPFB.RTS-12.16,5,2016-10-07 16:25:00,100300.0000000,100440.0000000,100290.0000000,100390.0000000,6041
SPFB.RTS-12.16,5,2016-10-07 16:30:00,100390.0000000,100420.0000000,100340.0000000,100340.0000000,4498
SPFB.RTS-12.16,5,2016-10-07 16:35:00,100340.0000000,100490.0000000,100240.0000000,100340.0000000,16419
SPFB.RTS-12.16,5,2016-10-07 16:40:00,100340.0000000,100360.0000000,100220.0000000,100290.0000000,10955
SPFB.RTS-12.16,5,2016-10-07 16:45:00,100280.0000000,100360.0000000,100200.0000000,100230.0000000,5946
SPFB.RTS-12.16,5,2016-10-07 16:50:00,100220.0000000,100240.0000000,100060.0000000,100080.0000000,8409
SPFB.RTS-12.16,5,2016-10-07 16:55:00,100090.0000000,100240.0000000,100050.0000000,100190.0000000,6882
SPFB.RTS-12.16,5,2016-10-07 17:00:00,100190.0000000,100290.0000000,100160.0000000,100220.0000000,5064
SPFB.RTS-12.16,5,2016-10-07 17:05:00,100210.0000000,100320.0000000,100130.0000000,100160.0000000,5015
SPFB.RTS-12.16,5,2016-10-07 17:10:00,100150.0000000,100230.0000000,100110.0000000,100220.0000000,2508
SPFB.RTS-12.16,5,2016-10-07 17:15:00,100210.0000000,100260.0000000,100160.0000000,100210.0000000,3687
SPFB.RTS-12.16,5,2016-10-07 17:20:00,100210.0000000,100220.0000000,100020.0000000,100070.0000000,5266
SPFB.RTS-12.16,5,2016-10-07 17:25:00,100060.0000000,100080.0000000,100000.0000000,100060.0000000,3881
SPFB.RTS-12.16,5,2016-10-07 17:30:00,100060.0000000,100120.0000000,100040.0000000,100120.0000000,2731
SPFB.RTS-12.16,5,2016-10-07 17:35:00,100120.0000000,100280.0000000,100100.0000000,100190.0000000,6695
SPFB.RTS-12.16,5,2016-10-07 17:40:00,100190.0000000,100230.0000000,100130.0000000,100150.0000000,3170
SPFB.RTS-12.16,5,2016-10-07 17:45:00,100140.0000000,100250.0000000,100140.0000000,100170.0000000,3068
SPFB.RTS-12.16,5,2016-10-07 17:50:00,100180.0000000,100250.0000000,100170.0000000,100210.0000000,2782
SPFB.RTS-12.16,5,2016-10-07 17:55:00,100220.0000000,100340.0000000,100180.0000000,100190.0000000,4830
SPFB.RTS-12.16,5,2016-10-07 18:00:00,100190.0000000,100220.0000000,100150.0000000,100170.0000000,2376
SPFB.RTS-12.16,5,2016-10-07 18:05:00,100160.0000000,100230.0000000,100140.0000000,100190.0000000,2738
SPFB.RTS-12.16,5,2016-10-07 18:10:00,100190.0000000,100270.0000000,100160.0000000,100250.0000000,3884
SPFB.RTS-12.16,5,2016-10-07 18:15:00,100250.0000000,100280.0000000,100140.0000000,100150.0000000,2816
SPFB.RTS-12.16,5,2016-10-07 18:20:00,100150.0000000,100190.0000000,100110.0000000,100140.0000000,1972
SPFB.RTS-12.16,5,2016-10-07 18:25:00,100130.0000000,100190.0000000,100110.0000000,100170.0000000,2234
SPFB.RTS-12.16,5,2016-10-07 18:30:00,100180.0000000,100210.0000000,100130.0000000,100140.0000000,2031
SPFB.RTS-12.16,5,2016-10-07 18:35:00,100140.0000000,100160.0000000,99850.0000000,99860.0000000,11585
SPFB.RTS-12.16,5,2016-10-07 18:40:00,99860.0000000,99870.0000000,99730.0000000,99830.0000000,10053
SPFB.RTS-12.16,5,2016-10-07 18:45:00,99820.0000000,99820.0000000,99500.0000000,99550.0000000,12388
SPFB.RTS-12.16,5,2016-10-07 19:05:00,99500.0000000,99540.0000000,99250.0000000,99260.0000000,9526
SPFB.RTS-12.16,5,2016-10-07 19:10:00,99260.0000000,99450.0000000,99170.0000000,99410.0000000,8709
SPFB.RTS-12.16,5,2016-10-07 19:15:00,99400.0000000,99410.0000000,99300.0000000,99400.0000000,5045
SPFB.RTS-12.16,5,2016-10-07 19:20:00,99390.0000000,99480.0000000,99280.0000000,99470.0000000,4243
SPFB.RTS-12.16,5,2016-10-07 19:25:00,99460.0000000,99470.0000000,99340.0000000,99410.0000000,2740
SPFB.RTS-12.16,5,2016-10-07 19:30:00,99400.0000000,99420.0000000,99340.0000000,99400.0000000,1685
SPFB.RTS-12.16,5,2016-10-07 19:35:00,99400.0000000,99540.0000000,99370.0000000,99480.0000000,2324
SPFB.RTS-12.16,5,2016-10-07 19:40:00,99480.0000000,99550.0000000,99450.0000000,99520.0000000,2368
SPFB.RTS-12.16,5,2016-10-07 19:45:00,99510.0000000,99540.0000000,99460.0000000,99520.0000000,1894
SPFB.RTS-12.16,5,2016-10-07 19:50:00,99520.0000000,99570.0000000,99500.0000000,99560.0000000,1481
SPFB.RTS-12.16,5,2016-10-07 19:55:00,99560.0000000,99590.0000000,99480.0000000,99500.0000000,2683
SPFB.RTS-12.16,5,2016-10-07 20:00:00,99490.0000000,99580.0000000,99480.0000000,99550.0000000,822
SPFB.RTS-12.16,5,2016-10-07 20:05:00,99560.0000000,99570.0000000,99410.0000000,99480.0000000,2446
